question_no,option,question,letter,type,triad,number,name
135,2,"When I've felt insecure, I've reacted by becoming defensive and argumentative.",B,Six,The Thinking Triad,6,THE LOYALIST
136,1,I have generally been open-minded and willing to try new approaches.,H,Five,The Thinking Triad,5,THE INVESTIGATOR
136,2,I have generally been self-revealing and willing to share my feelings with others.,E,Four,The Feeling Triad,4,THE INDIVIDUALIST
137,1,I've presented myself to others as tougher than I really am.,G,Eight,The Instinctive Triad,8,THE CHALLENGER
137,2,I've presented myself to others as caring more than I really do.,F,Two,The Feeling Triad,2,THE HELPER
138,1,I usually have followed my conscience and reason.,D,One,The Instinctive Triad,1,THE REFORMER
138,2,I usually have followed my feelings and impulses.,I,Seven,The Thinking Triad,7,THE ENTHUSIAST
139,1,Serious adversity has made me feel hardened and resolute.,C,Three,The Feeling Triad,3,THE ACHIEVER
139,2,Serious adversity has made me feel discouraged and resigned.,A,Nine,The Instinctive Triad,9,THE PEACEMAKER
140,1,"I usually have made sure that I had some kind of ""safety net"" to fall back on.",B,Six,The Thinking Triad,6,THE LOYALIST
140,2,I usually have chosen to live on the edge and to depend on others as little as possible.,H,Five,The Thinking Triad,5,THE INVESTIGATOR
141,1,"I've had to be strong for others, so I haven't had time to deal with my feelings and fears.",G,Eight,The Instinctive Triad,8,THE CHALLENGER
141,2,"I've had difficulty coping with my feelings and fears, so it's been hard for me to be strong for others.",E,Four,The Feeling Triad,4,THE INDIVIDUALIST
142,1,I have often wondered why people focus on the negative when there is so much that's wonderful about life.,A,Nine,The Instinctive Triad,9,THE PEACEMAKER
142,2,I have often wondered why people are so happy when so much in life is messed up.,D,One,The Instinctive Triad,1,THE REFORMER
143,1,I have tried hard not to be seen as a selfish person.,F,Two,The Feeling Triad,2,THE HELPER
143,2,I have tried hard not to be seen as a boring person.,I,Seven,The Thinking Triad,7,THE ENTHUSIAST
144,1,I have avoided intimacy when I feared I would be overwhelmed by people's needs and demands.,H,Five,The Thinking Triad,5,THE INVESTIGATOR
144,2,I have avoided intimacy when I feared I would not be able to live up to people's expectations of me.,C,Three,The Feeling Triad,3,THE ACHIEVER
